from_id,to_id
100001|1|V000001,V000001
100002|1|V000001,V000001
100003|1|V000001,V000001
100004|1|V000001,V000001
100005|1|V000001,V000001
100006|1|V000001,V000001
100007|1|V000001,V000001
100008|1|V000001,V000001
100009|1|V000001,V000001
100010|1|V000001,V000001
100011|1|V000001,V000001
100012|1|V000001,V000001
100013|1|V000001,V000001
100014|1|V000001,V000001
100015|1|V000001,V000001
100016|1|V000001,V000001
100017|1|V000001,V000001
100018|1|V000001,V000001
100019|1|V000001,V000001
100020|1|V000001,V000001
100021|1|V000001,V000001
100022|1|V000001,V000001
100023|1|V000001,V000001
100024|1|V000001,V000001
100025|1|V000001,V000001
100026|1|V000001,V000001
100027|1|V000001,V000001
100028|1|V000001,V000001
100029|1|V000001,V000001
100030|1|V000001,V000001
100031|1|V000001,V000001
100032|1|V000001,V000001
100033|1|V000001,V000001
100034|1|V000001,V000001
100035|1|V000001,V000001
100036|1|V000001,V000001
100037|1|V000001,V000001
100038|1|V000001,V000001
100039|1|V000001,V000001
100040|1|V000001,V000001
100041|1|V000001,V000001
100042|1|V000001,V000001
100043|1|V000001,V000001
100044|1|V000001,V000001
100045|1|V000001,V000001
100046|1|V000001,V000001
100047|1|V000001,V000001
100048|1|V000001,V000001
100049|1|V000001,V000001
100050|1|V000001,V000001
100051|1|V000001,V000001
100052|1|V000001,V000001
100053|1|V000001,V000001
100054|1|V000001,V000001
100055|1|V000001,V000001
100056|1|V000001,V000001
100057|1|V000001,V000001
100058|1|V000001,V000001
100059|1|V000001,V000001
100060|1|V000001,V000001
100061|1|V000001,V000001
100062|1|V000001,V000001
100063|1|V000001,V000001
100064|1|V000001,V000001
100065|1|V000001,V000001
100066|1|V000001,V000001
100067|1|V000001,V000001
100068|1|V000001,V000001
100069|1|V000001,V000001
100070|1|V000001,V000001
100071|1|V000002,V000002
100072|1|V000002,V000002
100073|1|V000002,V000002
100074|1|V000002,V000002
100075|1|V000002,V000002
100076|1|V000002,V000002
100077|1|V000002,V000002
100078|1|V000002,V000002
100079|1|V000002,V000002
100080|1|V000002,V000002
100081|1|V000002,V000002
100082|1|V000002,V000002
100083|1|V000002,V000002
100084|1|V000002,V000002
100085|1|V000002,V000002
100086|1|V000002,V000002
100087|1|V000002,V000002
100088|1|V000002,V000002
100089|1|V000002,V000002
100090|1|V000002,V000002
100091|1|V000002,V000002
100092|1|V000002,V000002
100093|1|V000002,V000002
100094|1|V000002,V000002
100095|1|V000002,V000002
100096|1|V000002,V000002
100097|1|V000002,V000002
100098|1|V000002,V000002
100099|1|V000002,V000002
100100|1|V000002,V000002
100101|1|V000002,V000002
100102|1|V000002,V000002
100103|1|V000002,V000002
100104|1|V000002,V000002
100105|1|V000002,V000002
100106|1|V000002,V000002
100107|1|V000002,V000002
