from_id,to_id
100001|1|V000001,202604
100002|1|V000001,202604
100003|1|V000001,202604
100004|1|V000001,202604
100005|1|V000001,202604
100006|1|V000001,202604
100007|1|V000001,202604
100008|1|V000001,202604
100009|1|V000001,202604
100010|1|V000001,202604
100011|1|V000001,202604
100012|1|V000001,202604
100013|1|V000001,202604
100014|1|V000001,202604
100015|1|V000001,202604
100016|1|V000001,202604
100017|1|V000001,202604
100018|1|V000001,202604
100019|1|V000001,202604
100020|1|V000001,202604
100021|1|V000001,202604
100022|1|V000001,202604
100023|1|V000001,202604
100024|1|V000001,202604
100025|1|V000001,202604
100026|1|V000001,202604
100027|1|V000001,202604
100028|1|V000001,202604
100029|1|V000001,202604
100030|1|V000001,202604
100031|1|V000001,202604
100032|1|V000001,202604
100033|1|V000001,202604
100034|1|V000001,202604
100035|1|V000001,202604
100036|1|V000001,202604
100037|1|V000001,202604
100038|1|V000001,202604
100039|1|V000001,202605
100040|1|V000001,202605
100041|1|V000001,202605
100042|1|V000001,202605
100043|1|V000001,202605
100044|1|V000001,202605
100045|1|V000001,202605
100046|1|V000001,202605
100047|1|V000001,202605
100048|1|V000001,202605
100049|1|V000001,202605
100050|1|V000001,202605
100051|1|V000001,202605
100052|1|V000001,202605
100053|1|V000001,202605
100054|1|V000001,202605
100055|1|V000001,202605
100056|1|V000001,202605
100057|1|V000001,202605
100058|1|V000001,202605
100059|1|V000001,202605
100060|1|V000001,202605
100061|1|V000001,202605
100062|1|V000001,202605
100063|1|V000001,202605
100064|1|V000001,202605
100065|1|V000001,202605
100066|1|V000001,202605
100067|1|V000001,202605
100068|1|V000001,202605
100069|1|V000001,202605
100070|1|V000001,202605
100071|1|V000001,202605
100072|1|V000001,202605
100073|1|V000001,202605
100074|1|V000001,202605
100075|1|V000001,202605
100076|1|V000001,202605
100077|1|V000001,202606
100078|1|V000001,202606
100079|1|V000001,202606
100080|1|V000001,202606
100081|1|V000001,202606
100082|1|V000001,202606
100083|1|V000001,202606
100084|1|V000001,202606
100085|1|V000001,202606
100086|1|V000001,202606
100087|1|V000001,202606
100088|1|V000001,202606
100089|1|V000001,202606
100090|1|V000001,202606
100091|1|V000001,202606
100092|1|V000001,202606
100093|1|V000001,202606
100094|1|V000001,202606
100095|1|V000001,202606
100096|1|V000001,202606
100097|1|V000001,202606
100098|1|V000001,202606
100099|1|V000001,202606
100100|1|V000001,202606
100101|1|V000001,202606
100102|1|V000001,202606
100103|1|V000001,202606
100104|1|V000001,202606
100105|1|V000001,202606
100106|1|V000001,202606
100107|1|V000001,202606
100108|1|V000001,202606
100109|1|V000001,202606
100110|1|V000001,202606
100111|1|V000001,202606
100112|1|V000001,202606
100113|1|V000001,202606
100114|1|V000001,202606
100115|1|V000002,202604
100116|1|V000002,202604
100117|1|V000002,202604
100118|1|V000002,202604
