from_id,to_id
100001|1|V000001,1597
100002|1|V000001,1639
100003|1|V000001,1632
100004|1|V000001,1597
100005|1|V000001,1618
100006|1|V000001,1660
100007|1|V000001,1639
100008|1|V000001,1611
100009|1|V000001,1632
100010|1|V000001,1618
100011|1|V000001,1618
100012|1|V000001,1611
100013|1|V000001,1632
100014|1|V000001,1632
100015|1|V000001,1611
100016|1|V000001,1625
100017|1|V000001,1653
100018|1|V000001,1639
100019|1|V000001,1646
100020|1|V000001,1597
100021|1|V000001,1604
100022|1|V000001,1618
100023|1|V000001,1597
100024|1|V000001,1646
100025|1|V000001,1639
100026|1|V000001,1639
100027|1|V000001,1632
100028|1|V000001,1632
100029|1|V000001,1660
100030|1|V000001,1653
100031|1|V000001,1611
100032|1|V000001,1646
100033|1|V000001,1646
100034|1|V000001,1611
100035|1|V000001,1646
100036|1|V000001,1653
100037|1|V000001,1597
100038|1|V000001,1611
100039|1|V000001,1660
100040|1|V000001,1646
100041|1|V000001,1597
100042|1|V000001,1653
100043|1|V000001,1604
100044|1|V000001,1660
100045|1|V000001,1604
100046|1|V000001,1618
100047|1|V000001,1604
100048|1|V000001,1597
100049|1|V000001,1632
100050|1|V000001,1597
100051|1|V000001,1646
100052|1|V000001,1653
100053|1|V000001,1660
100054|1|V000001,1604
100055|1|V000001,1653
100056|1|V000001,1653
100057|1|V000001,1618
100058|1|V000001,1660
100059|1|V000001,1646
100060|1|V000001,1639
100061|1|V000001,1660
100062|1|V000001,1625
100063|1|V000001,1639
100064|1|V000001,1646
100065|1|V000001,1611
100066|1|V000001,1604
100067|1|V000001,1660
100068|1|V000001,1639
100069|1|V000001,1618
100070|1|V000001,1611
100071|1|V000001,1611
100072|1|V000001,1632
100073|1|V000001,1660
100074|1|V000001,1597
100075|1|V000001,1632
100076|1|V000001,1611
100077|1|V000001,1646
100078|1|V000001,1646
100079|1|V000001,1625
100080|1|V000001,1618
100081|1|V000001,1597
100082|1|V000001,1646
100083|1|V000001,1646
100084|1|V000001,1639
100085|1|V000001,1660
100086|1|V000001,1653
100087|1|V000001,1660
100088|1|V000001,1632
100089|1|V000001,1632
100090|1|V000001,1625
100091|1|V000001,1660
100092|1|V000001,1653
100093|1|V000001,1625
100094|1|V000001,1632
100095|1|V000001,1646
100096|1|V000001,1632
100097|1|V000001,1604
100098|1|V000001,1653
100099|1|V000001,1646
100100|1|V000001,1639
100101|1|V000001,1646
100102|1|V000001,1618
100103|1|V000001,1660
100104|1|V000001,1632
100105|1|V000001,1653
100106|1|V000001,1639
100107|1|V000001,1660
100108|1|V000001,1660
100109|1|V000002,1688
100110|1|V000002,1723
100111|1|V000002,1709
100112|1|V000002,1723
100113|1|V000002,1716
100114|1|V000002,1681
100115|1|V000002,1716
100116|1|V000002,1716
100117|1|V000002,1695
100118|1|V000002,1716
100119|1|V000002,1723
100120|1|V000002,1702
100121|1|V000002,1723
100122|1|V000002,1695
100123|1|V000002,1716
100124|1|V000002,1688
100125|1|V000002,1709
100126|1|V000002,1667
100127|1|V000002,1681
100128|1|V000002,1695
100129|1|V000002,1681
100130|1|V000002,1695
100131|1|V000002,1688
100132|1|V000002,1716
100133|1|V000002,1709
100134|1|V000002,1709
100135|1|V000002,1716
100136|1|V000002,1716
100137|1|V000002,1723
100138|1|V000002,1716
100139|1|V000002,1730
100140|1|V000002,1667
100141|1|V000002,1667
100142|1|V000002,1667
100143|1|V000002,1695
100144|1|V000002,1702
100145|1|V000002,1667
100146|1|V000002,1709
100147|1|V000002,1716
100148|1|V000002,1667
100149|1|V000002,1681
100150|1|V000002,1674
100151|1|V000002,1681
100152|1|V000002,1730
100153|1|V000002,1688
100154|1|V000002,1716
100155|1|V000002,1674
100156|1|V000002,1702
100157|1|V000002,1688
100158|1|V000002,1667
100159|1|V000002,1723
100160|1|V000002,1667
100161|1|V000002,1709
100162|1|V000002,1723
100163|1|V000002,1681
100164|1|V000002,1723
100165|1|V000002,1667
100166|1|V000002,1709
100167|1|V000002,1709
100168|1|V000002,1730
100169|1|V000002,1688
100170|1|V000002,1730
100171|1|V000002,1695
100172|1|V000002,1667
100173|1|V000002,1730
100174|1|V000002,1674
100175|1|V000002,1716
100176|1|V000002,1681
100177|1|V000002,1674
100178|1|V000002,1674
100179|1|V000002,1716
100180|1|V000002,1681
100181|1|V000002,1674
100182|1|V000002,1688
100183|1|V000002,1681
100184|1|V000002,1688
100185|1|V000002,1695
100186|1|V000002,1667
100187|1|V000003,1744
100188|1|V000003,1772
100189|1|V000003,1765
100190|1|V000003,1786
100191|1|V000003,1793
100192|1|V000003,1737
100193|1|V000003,1772
100194|1|V000003,1744
100195|1|V000003,1737
100196|1|V000003,1737
100197|1|V000003,1772
100198|1|V000003,1793
100199|1|V000003,1800
100200|1|V000003,1765
100201|1|V000003,1772
100202|1|V000003,1751
100203|1|V000003,1751
100204|1|V000003,1772
100205|1|V000003,1765
100206|1|V000003,1800
100207|1|V000003,1744
100208|1|V000003,1737
100209|1|V000003,1779
100210|1|V000003,1744
100211|1|V000003,1737
100212|1|V000003,1758
100213|1|V000003,1800
100214|1|V000003,1744
100215|1|V000003,1744
100216|1|V000003,1737
100217|1|V000003,1786
100218|1|V000003,1758
100219|1|V000003,1737
100220|1|V000003,1786
100221|1|V000003,1765
100222|1|V000003,1758
100223|1|V000003,1779
100224|1|V000003,1772
100225|1|V000003,1751
100226|1|V000003,1737
100227|1|V000003,1758
100228|1|V000003,1765
100229|1|V000003,1758
100230|1|V000003,1751
100231|1|V000003,1800
100232|1|V000003,1800
100233|1|V000003,1793
100234|1|V000003,1758
100235|1|V000003,1800
100236|1|V000003,1772
100237|1|V000003,1744
100238|1|V000003,1772
100239|1|V000003,1772
100240|1|V000003,1786
100241|1|V000003,1800
100242|1|V000003,1779
100243|1|V000003,1737
100244|1|V000003,1737
100245|1|V000003,1758
100246|1|V000003,1772
100247|1|V000003,1744
100248|1|V000003,1786
100249|1|V000003,1772
100250|1|V000003,1779
100251|1|V000003,1786
100252|1|V000003,1786
100253|1|V000003,1751
100254|1|V000003,1737
100255|1|V000003,1751
100256|1|V000003,1744
100257|1|V000003,1737
100258|1|V000003,1751
100259|1|V000003,1793
100260|1|V000003,1765
100261|1|V000003,1772
100262|1|V000003,1786
100263|1|V000003,1744
100264|1|V000003,1786
100265|1|V000003,1779
100266|1|V000003,1786
100267|1|V000003,1765
100268|1|V000003,1744
100269|1|V000003,1758
100270|1|V000003,1779
100271|1|V000003,1800
100272|1|V000003,1737
100273|1|V000003,1800
100274|1|V000003,1751
100275|1|V000003,1779
100276|1|V000003,1800
100277|1|V000003,1744
100278|1|V000003,1793
100279|1|V000003,1800
100280|1|V000003,1751
100281|1|V000003,1800
100282|1|V000003,1772
100283|1|V000003,1800
100284|1|V000003,1800
100285|1|V000003,1772
100286|1|V000003,1772
100287|1|V000003,1765
100288|1|V000003,1758
100289|1|V000003,1765
100290|1|V000003,1786
100291|1|V000003,1793
100292|1|V000003,1744
100293|1|V000003,1800
100294|1|V000003,1737
100295|1|V000004,1828
100296|1|V000004,1814
100297|1|V000004,1856
100298|1|V000004,1842
100299|1|V000004,1835
100300|1|V000004,1828
100301|1|V000004,1807
100302|1|V000004,1856
100303|1|V000004,1828
100304|1|V000004,1849
100305|1|V000004,1828
100306|1|V000004,1849
100307|1|V000004,1870
100308|1|V000004,1842
100309|1|V000004,1835
100310|1|V000004,1828
100311|1|V000004,1870
100312|1|V000004,1856
100313|1|V000004,1849
100314|1|V000004,1842
100315|1|V000004,1842
100316|1|V000004,1821
100317|1|V000004,1863
100318|1|V000004,1814
100319|1|V000004,1849
100320|1|V000004,1835
100321|1|V000004,1870
100322|1|V000004,1863
100323|1|V000004,1849
100324|1|V000004,1842
100325|1|V000004,1821
100326|1|V000004,1856
100327|1|V000004,1807
100328|1|V000004,1870
100329|1|V000004,1821
100330|1|V000004,1856
100331|1|V000004,1807
100332|1|V000004,1807
100333|1|V000004,1842
100334|1|V000004,1835
100335|1|V000004,1856
100336|1|V000004,1821
100337|1|V000004,1821
100338|1|V000004,1828
100339|1|V000004,1870
100340|1|V000004,1849
100341|1|V000004,1807
100342|1|V000004,1807
100343|1|V000004,1863
100344|1|V000004,1835
100345|1|V000004,1870
100346|1|V000004,1863
100347|1|V000004,1856
100348|1|V000004,1828
100349|1|V000004,1863
100350|1|V000004,1842
100351|1|V000004,1870
100352|1|V000004,1814
100353|1|V000004,1856
100354|1|V000004,1814
100355|1|V000004,1842
100356|1|V000004,1814
100357|1|V000004,1821
100358|1|V000004,1835
100359|1|V000004,1821
100360|1|V000004,1849
100361|1|V000004,1814
100362|1|V000004,1814
100363|1|V000004,1856
100364|1|V000004,1807
100365|1|V000004,1856
100366|1|V000004,1807
100367|1|V000004,1870
100368|1|V000004,1863
100369|1|V000004,1828
100370|1|V000004,1821
100371|1|V000004,1807
100372|1|V000004,1856
100373|1|V000004,1828
100374|1|V000004,1863
100375|1|V000004,1856
100376|1|V000004,1856
100377|1|V000004,1814
100378|1|V000004,1870
100379|1|V000004,1863
100380|1|V000004,1807
100381|1|V000004,1870
100382|1|V000004,1814
100383|1|V000004,1842
100384|1|V000004,1863
100385|1|V000004,1856
100386|1|V000004,1814
100387|1|V000004,1828
100388|1|V000004,1814
100389|1|V000004,1856
100390|1|V000004,1807
