from_id,to_id
100001|1|V000001,RPG000
100003|1|V000001,RPG005
100004|1|V000001,RPG000
100008|1|V000001,RPG002
100009|1|V000001,RPG005
100012|1|V000001,RPG002
100013|1|V000001,RPG005
100014|1|V000001,RPG005
100015|1|V000001,RPG002
100016|1|V000001,RPG004
100017|1|V000001,RPG008
100020|1|V000001,RPG000
100021|1|V000001,RPG001
100023|1|V000001,RPG000
100027|1|V000001,RPG005
100028|1|V000001,RPG005
100030|1|V000001,RPG008
100031|1|V000001,RPG002
100034|1|V000001,RPG002
100036|1|V000001,RPG008
100037|1|V000001,RPG000
100038|1|V000001,RPG002
100041|1|V000001,RPG000
100042|1|V000001,RPG008
100043|1|V000001,RPG001
100045|1|V000001,RPG001
100047|1|V000001,RPG001
100048|1|V000001,RPG000
100049|1|V000001,RPG005
100050|1|V000001,RPG000
100052|1|V000001,RPG008
100054|1|V000001,RPG001
100055|1|V000001,RPG008
100056|1|V000001,RPG008
100062|1|V000001,RPG004
100065|1|V000001,RPG002
100066|1|V000001,RPG001
100070|1|V000001,RPG002
100071|1|V000001,RPG002
100072|1|V000001,RPG005
100074|1|V000001,RPG000
100075|1|V000001,RPG005
100076|1|V000001,RPG002
100079|1|V000001,RPG004
100081|1|V000001,RPG000
100086|1|V000001,RPG008
100088|1|V000001,RPG005
100089|1|V000001,RPG005
100090|1|V000001,RPG004
100092|1|V000001,RPG008
100093|1|V000001,RPG004
100094|1|V000001,RPG005
100096|1|V000001,RPG005
100097|1|V000001,RPG001
100098|1|V000001,RPG008
100104|1|V000001,RPG005
100105|1|V000001,RPG008
100113|1|V000002,RPG010
100114|1|V000002,RPG005
100115|1|V000002,RPG010
100116|1|V000002,RPG010
100118|1|V000002,RPG010
100123|1|V000002,RPG010
100127|1|V000002,RPG005
100129|1|V000002,RPG005
100132|1|V000002,RPG010
100135|1|V000002,RPG010
100136|1|V000002,RPG010
100138|1|V000002,RPG010
100139|1|V000002,RPG012
100147|1|V000002,RPG010
100149|1|V000002,RPG005
100150|1|V000002,RPG004
100151|1|V000002,RPG005
100152|1|V000002,RPG012
100154|1|V000002,RPG010
100155|1|V000002,RPG004
100163|1|V000002,RPG005
100168|1|V000002,RPG012
100170|1|V000002,RPG012
100173|1|V000002,RPG012
100174|1|V000002,RPG004
100175|1|V000002,RPG010
100176|1|V000002,RPG005
100177|1|V000002,RPG004
100178|1|V000002,RPG004
